 client 1 | 2023-11-06 21:39:27,354 INFO     Starting UDP client 1
 client 1 | 2023-11-06 21:39:27,354 INFO     Sent register message to server 127.0.0.1:7070
 client 1 | 2023-11-06 21:39:27,470 DEBUG    Received packet 1: 3735
 client 1 | 2023-11-06 21:39:27,570 DEBUG    Received packet 2: 3698
 client 1 | 2023-11-06 21:39:27,671 DEBUG    Received packet 3: 3594
 client 1 | 2023-11-06 21:39:27,771 DEBUG    Received packet 4: 3680
 client 1 | 2023-11-06 21:39:27,871 DEBUG    Received packet 5: 3738
 client 1 | 2023-11-06 21:39:27,971 DEBUG    Received packet 6: 3684
 client 1 | 2023-11-06 21:39:28,072 DEBUG    Received packet 7: 3661
 client 1 | 2023-11-06 21:39:28,172 DEBUG    Received packet 8: 3499
 client 1 | 2023-11-06 21:39:28,272 DEBUG    Received packet 9: 3623
 client 1 | 2023-11-06 21:39:28,373 DEBUG    Received packet 10: 3637
 client 1 | 2023-11-06 21:39:28,473 DEBUG    Received packet 11: 3608
 client 1 | 2023-11-06 21:39:28,573 DEBUG    Received packet 12: 3555
 client 1 | 2023-11-06 21:39:28,673 DEBUG    Received packet 13: 3620
 client 1 | 2023-11-06 21:39:28,774 DEBUG    Received packet 14: 3596
 client 1 | 2023-11-06 21:39:28,874 DEBUG    Received packet 15: 3650
 client 1 | 2023-11-06 21:39:28,974 DEBUG    Received packet 16: 3481
 client 1 | 2023-11-06 21:39:29,074 DEBUG    Received packet 17: 3519
 client 1 | 2023-11-06 21:39:29,175 DEBUG    Received packet 18: 3502
 client 1 | 2023-11-06 21:39:29,275 DEBUG    Received packet 19: 3537
 client 1 | 2023-11-06 21:39:29,375 DEBUG    Received packet 20: 3582
 client 1 | 2023-11-06 21:39:29,476 DEBUG    Received packet 21: 3615
 client 1 | 2023-11-06 21:39:29,576 DEBUG    Received packet 22: 3546
 client 1 | 2023-11-06 21:39:29,676 DEBUG    Received packet 23: 3496
 client 1 | 2023-11-06 21:39:29,776 DEBUG    Received packet 24: 3660
 client 1 | 2023-11-06 21:39:29,877 DEBUG    Received packet 25: 3837
 client 1 | 2023-11-06 21:39:29,977 DEBUG    Received packet 26: 3763
 client 1 | 2023-11-06 21:39:30,077 DEBUG    Received packet 27: 3773
 client 1 | 2023-11-06 21:39:30,178 DEBUG    Received packet 28: 3570
 client 1 | 2023-11-06 21:39:30,278 DEBUG    Received packet 29: 3713
 client 1 | 2023-11-06 21:39:30,378 DEBUG    Received packet 30: 3860
 client 1 | 2023-11-06 21:39:30,478 DEBUG    Received packet 31: 4003
 client 1 | 2023-11-06 21:39:30,578 DEBUG    Received packet 32: 3871
 client 1 | 2023-11-06 21:39:30,679 DEBUG    Received packet 33: 3644
 client 1 | 2023-11-06 21:39:30,779 DEBUG    Received packet 34: 3619
 client 1 | 2023-11-06 21:39:30,879 DEBUG    Received packet 35: 3511
 client 1 | 2023-11-06 21:39:30,980 DEBUG    Received packet 36: 3604
 client 1 | 2023-11-06 21:39:31,080 DEBUG    Received packet 37: 3670
 client 1 | 2023-11-06 21:39:31,180 DEBUG    Received packet 38: 3703
 client 1 | 2023-11-06 21:39:31,281 DEBUG    Received packet 39: 3711
 client 1 | 2023-11-06 21:39:31,381 DEBUG    Received packet 40: 3709
 client 1 | 2023-11-06 21:39:31,481 DEBUG    Received packet 41: 3682
 client 1 | 2023-11-06 21:39:31,581 DEBUG    Received packet 42: 3919
 client 1 | 2023-11-06 21:39:31,682 DEBUG    Received packet 43: 4006
 client 1 | 2023-11-06 21:39:31,782 DEBUG    Received packet 44: 3870
 client 1 | 2023-11-06 21:39:31,882 DEBUG    Received packet 45: 3675
 client 1 | 2023-11-06 21:39:31,983 DEBUG    Received packet 46: 3585
