 server   | 2023-11-06 21:45:45,631 INFO     Starting UDP server on 127.0.0.1:7070
 server   | 2023-11-06 21:45:45,632 INFO     Waiting for any client to register...
 server   | 2023-11-06 21:45:47,868 INFO     Registered client 127.0.0.1:40552
 server   | 2023-11-06 21:45:48,634 INFO     Streaming started
 server   | 2023-11-06 21:45:48,635 DEBUG    Sent message '1 3735' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:48,735 DEBUG    Sent message '2 3698' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:48,835 DEBUG    Sent message '3 3594' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:48,935 DEBUG    Sent message '4 3680' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:49,036 DEBUG    Sent message '5 3738' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:49,136 DEBUG    Sent message '6 3684' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:49,236 DEBUG    Sent message '7 3661' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:49,337 DEBUG    Sent message '8 3499' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:49,437 DEBUG    Sent message '9 3623' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:49,537 DEBUG    Sent message '10 3637' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:49,638 DEBUG    Sent message '11 3608' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:49,738 DEBUG    Sent message '12 3555' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:49,838 DEBUG    Sent message '13 3620' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:49,938 DEBUG    Sent message '14 3596' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:50,039 DEBUG    Sent message '15 3650' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:50,139 DEBUG    Sent message '16 3481' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:50,239 DEBUG    Sent message '17 3519' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:50,340 DEBUG    Sent message '18 3502' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:50,440 DEBUG    Sent message '19 3537' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:50,540 DEBUG    Sent message '20 3582' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:50,641 DEBUG    Sent message '21 3615' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:50,741 DEBUG    Sent message '22 3546' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:50,841 DEBUG    Sent message '23 3496' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:50,941 DEBUG    Sent message '24 3660' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:51,042 DEBUG    Sent message '25 3837' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:51,142 DEBUG    Sent message '26 3763' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:51,242 DEBUG    Sent message '27 3773' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:51,342 DEBUG    Sent message '28 3570' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:51,443 DEBUG    Sent message '29 3713' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:51,543 DEBUG    Sent message '30 3860' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:51,643 DEBUG    Sent message '31 4003' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:51,744 DEBUG    Sent message '32 3871' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:51,844 DEBUG    Sent message '33 3644' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:51,944 DEBUG    Sent message '34 3619' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:52,044 DEBUG    Sent message '35 3511' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:52,145 DEBUG    Sent message '36 3604' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:52,245 DEBUG    Sent message '37 3670' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:52,345 DEBUG    Sent message '38 3703' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:52,446 DEBUG    Sent message '39 3711' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:52,546 DEBUG    Sent message '40 3709' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:52,646 DEBUG    Sent message '41 3682' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:52,747 DEBUG    Sent message '42 3919' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:52,847 DEBUG    Sent message '43 4006' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:52,947 DEBUG    Sent message '44 3870' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:53,047 DEBUG    Sent message '45 3675' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:53,148 DEBUG    Sent message '46 3585' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:53,248 DEBUG    Sent message '47 3743' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:53,348 DEBUG    Sent message '48 3507' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:53,449 DEBUG    Sent message '49 3438' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:53,549 DEBUG    Sent message '50 3540' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:53,649 DEBUG    Sent message '51 3833' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:53,750 DEBUG    Sent message '52 3668' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:53,850 DEBUG    Sent message '53 3844' to 127.0.0.1:40552
 server   | 2023-11-06 21:45:53,950 DEBUG    Sent message '54 3848' to 127.0.0.1:40552
