 server   | 2023-11-06 21:47:17,153 INFO     Starting UDP server on 127.0.0.1:7070
 server   | 2023-11-06 21:47:17,153 INFO     Waiting for any client to register...
 server   | 2023-11-06 21:47:23,769 INFO     Registered client 127.0.0.1:55755
 server   | 2023-11-06 21:47:24,159 INFO     Streaming started
 server   | 2023-11-06 21:47:26,839 INFO     Registered client 127.0.0.1:49788
 server   | 2023-11-06 21:47:30,856 INFO     Removed client 127.0.0.1:49788
 server   | 2023-11-06 21:47:32,212 INFO     Registered client 127.0.0.1:48124
 server   | 2023-11-06 21:47:54,312 INFO     Streaming finished
 server   | 2023-11-06 21:48:04,728 INFO     Server is shutting down
